objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,genre,date_published,date_description,publisher,licensing,musical,adaptation,adaptation_of,description,colocated,notes,format
53,Blue Denim,"Herlihy, James Leo",12-18,3,3,0,6,,107,Drama;Family,1959,,Chilton Books,TRUE,FALSE,FALSE,,"This moving and compassionate play concerning the problem of communications between the younger and older generations was saluted by the critics as a work of stature and uncommon insight. The juveniles are not delinquent and the parents are not heartless or uncaring; the trouble stems from the fact that they simply do not speak each other's language. A retired army officer living in Detroit has a 15 year old son who finds that he is about to become a father. The youngster feels helpless; he has never been close enough to his parents to go to them for help. When he does, at a friend's urging, he cannot make himself understood. This simple yet universal situation encompasses the terrible insecurity of youth, and the equally terrible failure of parents who realize too late that they don't know their own children.",,Written by James Leo Herlihy and William Noble,
54,"Bomb, The","Douglas, James",10-18,2,1,0,3,,20,Drama,1966,,Proscenium Press,TRUE,FALSE,FALSE,,"A couple of boys plan to play a cruel prank on a lonely old woman by setting off a bomb at her door. The bomb does not ignite, and one of the boys falls in his panic to get away.",,,
55,"Boor, The","Chekhov, Anton",10-18,2,1,0,3,,12,Drama,1888,,Unknown,FALSE,FALSE,FALSE,,A widow mourning her late husband is confronted by a creditor seeking repayment of a debt. Their interaction becomes heated but ultimately leads to a confession of love.,,Two different versions: The Boor and The Bear. Both are the same play.,
56,Breast Men,"Bozzone, Bill",16-18,3,0,0,3,FALSE,14,Drama,1995,,Smith and Kraus,TRUE,FALSE,FALSE,,Lloyd tries to mend his broken heart while his best friend Stuart attempts to get some secrets off his chest; all in the romantic resort setting of Love Acres. What was supposed to be the night of Lloyd's dreams with the woman he loves turns out to be a weekend he won't soon forget thanks to his troubled friend.,,This one reads as transphobic in the way that a lot of media in the 90s played trans people for laughs.,
57,Brilliant Traces,"Johnson, Cindy Lou",14-18,1,1,0,2,,42,Drama,1989,,Dramatists Play Service Inc.,TRUE,FALSE,TRUE,Adaptation of Cindy Lou Johnson's book by the same name,"The place is a remote cabin in the wilds of Alaska. As a blizzard rages outside, a lonely figure, Henry Harry, lies sleeping under a heap of blankets. Suddenly, he is awakened by the insistent knocking of an unexpected visitor—who turns out to be Rosannah DeLuce, a distraught young woman who has fled all the way from Arizona to escape her impending marriage, and who bursts into the cabin dressed in full bridal regalia. Exhausted, she throws herself on Henry’s mercy, but after sleeping for two days straight, her vigor—and combativeness—return. Both characters, it develops, have been wounded and embittered by life, and both are refugees from so-called civilization. Thrown together in the confines of the snowbound cabin, they alternately repel and attract each other as, in theatrically vivid exchanges, they explore the pain of the past and, in time, consider the possibilities of the present. In the end their very isolation proves to be the catalyst that allows them to break through the web of old griefs and bitter feelings that beset them both and to reach out for the solace and sanctuary that only hard-won understanding, self-awareness and compassion for the plight of others can bestow.",,,
58,"Buffalo and the Bell, The","Unknown,",04-12,1,2,4,7,TRUE,15,Folktales,,Unknown,Unknown,TRUE,FALSE,TRUE,"Appears to be an adaptation of The Buffalo and the Bell by Myra Scovel, published in 1963.","A trickster tale set in Indonesia. A man is sent to sell his buffalo, and is swindled by some of the men in the market. He swindles them in return.",,"This is copied from a book, but there is no author information. The section is titled Plays for Children to Perform.",
59,Bunya the Witch,"Richter, Robert",04-12,0,0,1,1,TRUE,32,Fantasy,1973,,Dutton,TRUE,FALSE,FALSE,,Strange things occur when the old lady living on the edge of town discovers her magical powers.,,This is a photocopy of a children's book. There are no parts or annotations.,
60,Cantorial,"Levin, Ira",10-18,4,2,1,7,,93,Drama,1988,,Concord Theatricals,TRUE,FALSE,FALSE,,"A Yuppie couple hears eerie, hauntingly beautiful Hebrew singing when they move into a new condominium. The building was formerly a synagogue and it has a ghost a cantor who has been dead for years. Warren becomes obsessed by the singing, which he believes is a sign that he is Jewish maybe the woman he thought was his mother wasn't and that he must restore the synagogue. Lesley, who is Jewish, finds this overwhelming and walks out. When a change of heart brings her back she finds a beautiful synagogue.",,,
61,"Captain and the Fir Tree, The","Stephens, Jeffryn",04-10,2,4,4,10,FALSE,6,Fairytales,,Unknown,YPPC,FALSE,FALSE,TRUE,Based on tales by Hans Christian Andersen,,,,
62,Carmencita,"Chapek, Susan",14-18,7,4,4,15,FALSE,30,Musical,1990,,YPPC,FALSE,TRUE,TRUE,"Adapted from the opera Carmen by Bizst, this play includes the music from the original opera.","Set in a high school, Carmencita is an adaptation of the opera Carmen. Jose, a teen with a checkered past, abandons his friends and family to pursue Carmencita. When she eventually rejects him for another man and taunts him, he stabs her.",,"There are several copies of Draft 4 of this play. They are working copies and are written by Susan Chapek and Scott Tilley. This was performed in 1990, and includes several songs from the opera with original lyrics handwritten in.",
